Date,New cases,Seven-day average
3/28/2020,55,null
3/29/2020,52,51.7
3/30/2020,52,57.1
3/31/2020,84,65.1
4/1/2020,154,79.3
4/2/2020,160,90.1
4/3/2020,109,95.1
4/4/2020,171,111.7
4/5/2020,93,117.6
4/6/2020,75,120.9
4/7/2020,145,129.6
4/8/2020,52,115
4/9/2020,160,115
4/10/2020,110,115.1
4/11/2020,74,101.3
4/12/2020,102,102.6
4/13/2020,99,106
4/14/2020,115,101.7
4/15/2020,79,105.6
4/16/2020,94,96.1
4/17/2020,108,95.9
4/18/2020,105,100.3
4/19/2020,29,89.9
4/20/2020,81,87.3
4/21/2020,127,89
4/22/2020,87,90.1
4/23/2020,123,94.3
4/24/2020,104,93.7
4/25/2020,72,89
4/26/2020,60,93.4
4/27/2020,27,85.7
4/28/2020,130,86.1
4/29/2020,63,82.7
4/30/2020,145,85.9
5/1/2020,130,89.6
5/2/2020,103,94
5/3/2020,121,102.7
5/4/2020,72,109.1
5/5/2020,83,102.4
5/6/2020,74,104
5/7/2020,129,101.7
5/8/2020,94,96.6
5/9/2020,66,91.3
5/10/2020,99,88.1
5/11/2020,24,81.3
5/12/2020,119,86.4
5/13/2020,120,93
5/14/2020,110,90.3
5/15/2020,124,94.6
5/16/2020,151,106.7
5/17/2020,73,103
5/18/2020,88,112.1
5/19/2020,91,108.1
5/20/2020,43,97.1
5/21/2020,148,102.6
5/22/2020,169,109
5/23/2020,111,103.3
5/24/2020,77,103.9
5/25/2020,53,98.9
5/26/2020,47,92.6
5/27/2020,92,99.6
5/28/2020,41,84.3
5/29/2020,68,69.9
5/30/2020,80,65.4
5/31/2020,88,67
6/1/2020,67,69
6/2/2020,119,79.3
6/3/2020,113,82.3
6/4/2020,102,91
6/5/2020,96,95
6/6/2020,56,91.6
6/7/2020,91,92
6/8/2020,55,90.3
6/9/2020,158,95.9
6/10/2020,117,96.4
6/11/2020,146,102.7
6/12/2020,222,120.7
6/13/2020,225,144.9
6/14/2020,158,154.4
6/15/2020,186,173.1
6/16/2020,228,183.1
6/17/2020,259,203.4
6/18/2020,450,246.9
6/19/2020,352,265.4
6/20/2020,331,280.6
6/21/2020,478,326.3
6/22/2020,218,330.9
6/23/2020,295,340.4
6/24/2020,482,372.3
6/25/2020,438,370.6
6/26/2020,395,376.7
6/27/2020,299,372.1
6/28/2020,302,347
6/29/2020,228,348.4
6/30/2020,585,389.9
7/1/2020,355,371.7
7/2/2020,427,370.1
7/3/2020,526,388.9
7/4/2020,580,429
7/5/2020,283,426.3
7/6/2020,399,455.7
7/7/2020,858,494.714286
7/8/2020,673,540.1
7/9/2020,603,565.3
7/10/2020,596,575.3
7/11/2020,687,590.6
7/12/2020,456,615.3
7/13/2020,510,626.1
7/14/2020,993,645.4
7/15/2020,1075,702.9
7/16/2020,628,706.4
7/17/2020,699,721.1
7/18/2020,916,753.9
7/19/2020,209,718.6
7/20/2020,168,669.7
7/21/2020,1714,772.7
7/22/2020,918,750.3
7/23/2020,737,765.9